season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
2007,Siena College,Saints,639,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,SIE,1,D1,23,11,0
2007,College of William and Mary,Tribe,786,ad24b724-a11c-4dcd-a68c-67c53833ccb7,WM,1,D1,17,16,0
2007,Arizona State University,Sun Devils,28,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,ASU,1,D1,21,13,0
2007,La Salle University,Explorers,340,ad9a3e21-4585-4e35-8946-290fe4a16f18,LAS,1,D1,15,17,0
2007,"University of North Carolina, Asheville",Bulldogs,456,ad9fce12-6b1a-400c-bcbe-29d84d065fc0,UNCA,1,D1,23,10,0
2007,Oakland University,Golden Grizzlies,514,aeaaef0d-5238-414e-ac04-c55a22cba208,OAK,1,D1,17,14,0
2007,Drake University,Bulldogs,189,aed211c3-23a4-4188-ad70-22c6eba7d765,DRKE,1,D1,28,5,0
2007,Seton Hall University,Pirates,635,aef5e386-d8e8-460c-8014-3a2f090fd988,HALL,1,D1,17,15,0
2007,"Rutgers, State Univ of New Jersey, New Brunswick",Scarlet Knights,587,b03bb029-4499-4a2c-9074-5071ed360b21,RUTG,1,D1,11,20,0
2007,Presbyterian College,Blue Hose,1320,b06b63b0-20e6-4c78-bdcf-5feac3d7995e,PRE,1,D1,5,25,0
2007,St. Mary's College of California,Gaels,610,b18f34af-a7f1-4659-a2e5-fc11a31cd316,SMC,1,D1,25,7,0
2007,University of Oklahoma,Sooners,522,b2fda957-e15c-4fb2-8a13-6e58496f561e,OKLA,1,D1,23,12,0
2007,Bradley University,Braves,72,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,BRAD,1,D1,21,17,0
2007,"Fairleigh Dickinson University, Metropolitan",Knights,222,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,FDU,1,D1,8,20,0
2007,Morehead State University,Eagles,444,b7747a03-c85b-4de6-94bf-1b5b68553248,MORE,1,D1,15,15,0
2007,University of Louisville,Cardinals,367,b795ddbc-baab-4499-8803-52e8608520ab,LOU,1,D1,27,9,0
2007,"University of Tennessee, Knoxville",Volunteers,694,b827dbdf-230f-4916-9703-3bb9004e26eb,TENN,1,D1,31,5,0
2007,Missouri State University,Bears,669,b83de2df-328f-4303-9895-cdff048fb1ed,MOSU,1,D1,17,16,0
2007,Rice University,Owls,574,bb384635-c3a0-459a-8f13-fcd7177313e5,RICE,1,D1,3,27,0
2007,Butler University,Bulldogs,87,bdb7d7a4-45f8-4bf3-ab85-15488c451494,BUT,1,D1,30,4,0
2007,University of Michigan,Wolverines,418,bdc2561d-f603-4fab-a262-f1d2af462277,MICH,1,D1,10,22,0
2007,Montana State University-Bozeman,Bobcats,440,bec40585-b587-4548-93f5-b7c00b046aea,MTST,1,D1,15,15,0
